Site ID,Planned Kiosk Type,Installation Status ,PPT ID,Legacy ID,Borough,Council District,Community Board,Final Submission (A),GF Permit Application ID,GF DoITT Submitted to CB (A),GF CB Comment Period Ends (A),Street Address,Cross_Street 1,Cross_Street 2,IxN Corner,Postcode,Zoning,Longitude,Latitude,Site in Business Improvement District (BID)?,BID,Link In Historic District,Historic District Name,Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot( BBL),Census Tract,Location2
bk-16-160031,Link5G_Ad,Installed,,,Brooklyn,42,316,08/09/2022,90268,,,370 BRISTOL STREET,LIVONIA AVENUE,RIVERDALE AVENUE,SW,11212,R7-2 / C2-4,-73.91080,40.66214,No,,,,Brownsville,,33585160001,916,POINT (-73.9108 40.66214)
mn-05-122136,Link5G_Ad,PreCX,122136,,Manhattan,,105,05/08/2024,,08/02/2024,10/01/2024,106 WEST 45TH STREET,AVENUE OF THE AMERICAS,West 45th ST,W,10036,C6-6,-73.98326,40.75700,,,,,Midtown-Midtown South,,1009970029,119,POINT (-73.983259 40.756996)
bk-03-gf34935,Link5G_NonAd,Ready for PreCx,,,Brooklyn,36,303,02/22/2024,,12/09/2024,02/07/2024,168 STUYVESANT AVENUE,STUYVESANT AVENUE,LEWIS AVENUE,NW,11221,R6B,-73.93383,40.68970,No,,,,Stuyvesant Heights,3044302,3016260010,BK-291,POINT (-73.9338303 40.6897028)
bx-09-gf22752,Link5G_Ad,PreCx,,,Bronx,18,209,08/09/2022,90372,12/16/2024,02/13/2025,1530 UNION PORT ROAD,BANGLA BAZAAR,Metropolitan Oval,N,10462,R6 / C2-2,-73.85723,40.83695,No,,0,,Parkchester,2096719,2039437501,bx-210.02,POINT (-73.85723 40.83695)
qu-02-gf44782,Link5G_NonAd,Planning,,,Queens,26,402,08/09/2022,90413,01/04/2023,03/05/2023,47-40 CENTER BOULEVARD,47th Rd,48th Ave,W,11101,M3-1,-73.95743,40.74546,No,,0,,Hunters Point-Sunnyside-West Maspeth,4594829,4000190021,qu-1,POINT (-73.95743 40.74546)
mn-08-gf0926,Link5G_NonAd,Planning,,,Manhattan,5,108,,,07/25/2024,10/21/2024,510 EAST 71ST STREET,FDR DRIVE,YORK AVENUE,MIDBLOCK,10021,R9,-73.95282,40.76551,No,,,,Lenox Hill-Roosevelt Island,1081252,1014820040,mn-124,POINT (-73.9528245 40.7655067)
mn-05-134444,Link5G_Ad,Ready for PreCx,134444,mn-05-134444,Manhattan,3,105,05/08/2024,,08/02/2024,10/30/2024,831 6 AVENUE,WEST 29 STREET,WEST 28 STREET,SW,10001,C6-4X,-73.99024,40.74662,Yes,Flatiron/Nomad,,,Midtown-Midtown South,1015123,1008040042,1009500,POINT (-73.990241 40.746619)
mn-01-gf0974,Link5G_NonAd,Ready for PreCx,,,Manhattan,1,101,05/08/2024,,07/25/2024,10/21/2024,110 WILLIAM STREET,WILLIAM STREET,GOLD STREET,,10038,C6-4,-74.00716,40.70868,,Downtown Alliance BID,,,,,,,POINT (-74.0071646 40.7086765)
mn-02-gf0916,Link5G_Ad,PreCx,,,Manhattan,3,102,08/09/2022,90255,10/17/2022,12/16/2022,100 JANE STREET,WASHINGTON STREET,WEST STREET,N,10014,C1-7A,-74.00835,40.73760,No,,0,,West Village,1084803,1006410017,mn-79,POINT (-74.00835 40.7376)
mn-12-GF0874,Link5G_NonAd,Ready for PreCx,,,Manhattan,10,112,03/01/2024,,05/27/2025,07/26/2025,701 FORT WASHINGTON AVENUE,WEST 190TH STREET,CABRINI BOULEVARD,MIDBLOCK,10040,R7-2,-73.93506,40.85797,No,,,,Washington Heights North,1089189,1021790600,MH-273,POINT (-73.9350592 40.8579679)
