GENERATED ON,SITE ID,STATUS,Planned Kiosk Type,PPT ID,ADDRESS,CITY,STATE,POSTCODE,BOROUGH,LATITUDE,LONGITUDE,CROSS STREET 1,CROSS STREET 2,CORNER LOCATION,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT,NTA,BBL,BIN,INSTALLATION DATE,ACTIVATION DATE,WIFI STATUS,WIFI LAST TS,TABLET STATUS,TABLET LAST TS,PHONE STATUS,DIALER LAST TS,LOCATION
2025-01-15 11:00:00.381,qu-03-gf44819,Activation,Link 5G,GF44819,75-20 ASTORIA BOULEVARD,Queens,NY,11370,Queens,40.7642912,-73.8948328,ASTORIA BOULEVARD SOUTH,25TH AVENUE,MIDBLOCK,403,22,qu-309.04,Jackson Heights,4010270050,4307280,2024-09-04 20:00:00.000,,null,null,null,null,null,null,"(40.7642912, -73.8948328)"
2024-09-26 11:00:00.475,bx-06-146096,Repair,Link 1.0,146096,4201 3 AVENUE,Bronx,NY,10457,Bronx,40.84647676,-73.89639316,EAST TREMONT AVENUE,EAST 176 STREET,SE,206,15,2039500,Claremont-Bathgate,2029240020,2009606,2018-06-19 20:00:00.000,2018-07-25 20:00:00.000,up,2024-09-26 11:00:00.475,null,null,null,null,"(40.84647676, -73.89639316)"
2024-03-13 09:00:00.978,bk-01-gf34839,Installed,Link 5G,GF34839,135 HAVEMEYER STREET,Brooklyn,NY,11211,Brooklyn,40.712112,-73.9571476,SOUTH 1ST STREET,SOUTH 2ND STREET,SE,301,34,null,North Side-South Side,,,2023-05-03 20:00:00.000,,null,null,null,null,null,null,"(40.712112, -73.9571476)"
2024-05-24 09:00:00.683,bk-16-gf34731,Installed,Link 1.0,GF34731,121 LIBERTY AVENUE,Brooklyn,NY,11212,Brooklyn,40.6732003,-73.9058603,LIBERTY AVENUE,NEW YORK AVENUE,NW,316,37,BK-908,Brownsville,3036760030,3405082,2024-05-12 20:00:00.000,,null,null,null,null,null,null,"(40.6732003, -73.9058603)"
2024-01-24 10:00:00.747,mn-12-gf0841,Installed,Link 1.0,GF0841,4119 BROADWAY,Manhattan,NY,10033,Manhattan,40.8455391,-73.9388995,BROADWAY,FORT WASHINGTON AVENUE,NW,112,10,MH-263,Washington Heights South,1021420244,,2023-12-03 19:00:00.000,,null,null,null,null,null,null,"(40.8455391, -73.9388995)"
2024-04-25 10:00:00.917,bk-16-gf34727,Installed,Link 1.0,GF34727,656 HOWARD AVENUE,Brooklyn,NY,11212,Brooklyn,40.6658969,-73.9196083,SUTTER AVENUE,EAST NEW YORK AVENUE,NW,316,41,BK-900,Brownsville,3035110072,3080885,2024-04-01 20:00:00.000,,null,null,null,null,null,null,"(40.6658969, -73.9196083)"
2024-03-21 09:00:00.975,qu-03-gf44729,Installed,Link 5G,GF44729,81-20 NORTHERN BOULEVARD,Queens,NY,11372,Queens,40.7554275,-73.8855911,82nd Street,81st Street,SW,403,25,null,Jackson Heights,4012540006,,2024-02-05 19:00:00.000,,null,null,null,null,null,null,"(40.7554275, -73.8855911)"
2024-02-13 10:00:00.687,bk-06-gf34903,Installed,Link 5G,GF34903,84 BEARD STREET,Brooklyn,NY,11231,Brooklyn,40.6741868,-74.0136956,BEARD STREET,VAN DYKE STREET,SE,306,38,bk-53,Carroll Gardens-Columbia Street-Red Hook,3006050001,3008860,2024-02-06 19:00:00.000,,null,null,null,null,null,null,"(40.6741868, -74.0136956)"
2024-03-14 09:00:00.859,qu-10-gf44812,Installed,Link 5G,GF44812,133-40 131 STREET,Queens,NY,11420,Queens,40.6682571,-73.8079134,135th Ave,133rd Ave,NW,410,28,qu-818,South Ozone Park,4117900001,4256188,2023-02-27 19:00:00.000,,null,null,null,null,null,null,"(40.6682571, -73.8079134)"
2024-03-14 17:00:00.862,bk-04-gf34578,Installed,Link 5G,GF34578,908 FLUSHING AVENUE,Brooklyn,NY,11206,Brooklyn,40.7021363,-73.9353242,FLUSHING AVENUE,MONTIETH STREET,SW,304,34,391,Bushwick South,3031390021,,2024-01-23 19:00:00.000,,null,null,null,null,null,null,"(40.7021363, -73.9353242)"
