"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)",
"1400000US36001000100","Census Tract 1; Albany County; New York","46797","11343",
"1400000US36001000201","Census Tract 2.01; Albany County; New York","37218","17547",
"1400000US36001000202","Census Tract 2.02; Albany County; New York","34160","6835",
"1400000US36001000301","Census Tract 3.01; Albany County; New York","45547","8613",
"1400000US36001000302","Census Tract 3.02; Albany County; New York","54375","23205",
"1400000US36001000401","Census Tract 4.01; Albany County; New York","85852","12434",
"1400000US36001000403","Census Tract 4.03; Albany County; New York","85964","24468",
"1400000US36001000404","Census Tract 4.04; Albany County; New York","59274","30896",
"1400000US36001000501","Census Tract 5.01; Albany County; New York","17522","8129",
"1400000US36001000502","Census Tract 5.02; Albany County; New York","56350","12561",
"1400000US36001000600","Census Tract 6; Albany County; New York","25322","6173",
"1400000US36001000700","Census Tract 7; Albany County; New York","52582","10495",
"1400000US36001000800","Census Tract 8; Albany County; New York","28155","18990",
"1400000US36001001100","Census Tract 11; Albany County; New York","48898","11197",
"1400000US36001001400","Census Tract 14; Albany County; New York","70409","21402",
"1400000US36001001500","Census Tract 15; Albany County; New York","47961","22533",
"1400000US36001001600","Census Tract 16; Albany County; New York","62450","10447",
"1400000US36001001700","Census Tract 17; Albany County; New York","85776","11936",
"1400000US36001001802","Census Tract 18.02; Albany County; New York","71250","17539",
"1400000US36001001803","Census Tract 18.03; Albany County; New York","92095","49732",
"1400000US36001001804","Census Tract 18.04; Albany County; New York","105000","12538",
"1400000US36001001901","Census Tract 19.01; Albany County; New York","90313","17196",
"1400000US36001001902","Census Tract 19.02; Albany County; New York","101250","20008",
"1400000US36001002000","Census Tract 20; Albany County; New York","77773","14435",
"1400000US36001002100","Census Tract 21; Albany County; New York","38790","6738",
"1400000US36001002200","Census Tract 22; Albany County; New York","46867","13121",
"1400000US36001002300","Census Tract 23; Albany County; New York","48259","17123",
"1400000US36001002500","Census Tract 25; Albany County; New York","36150","10644",
"1400000US36001002600","Census Tract 26; Albany County; New York","70893","13837",
"1400000US36001012700","Census Tract 127; Albany County; New York","69309","13851",
"1400000US36001012800","Census Tract 128; Albany County; New York","35000","13481",
"1400000US36001012900","Census Tract 129; Albany County; New York","50956","19792",
"1400000US36001013000","Census Tract 130; Albany County; New York","83082","10022",
"1400000US36001013100","Census Tract 131; Albany County; New York","70281","16646",
"1400000US36001013200","Census Tract 132; Albany County; New York","49318","21116",
"1400000US36001013300","Census Tract 133; Albany County; New York","55271","20948",
"1400000US36001013400","Census Tract 134; Albany County; New York","73941","9952",
"1400000US36001013503","Census Tract 135.03; Albany County; New York","114429","22899",
"1400000US36001013505","Census Tract 135.05; Albany County; New York","93496","7844",
"1400000US36001013507","Census Tract 135.07; Albany County; New York","89740","23365",
"1400000US36001013509","Census Tract 135.09; Albany County; New York","90900","27531",
"1400000US36001013510","Census Tract 135.10; Albany County; New York","100967","15907",
"1400000US36001013511","Census Tract 135.11; Albany County; New York","134286","19091",
"1400000US36001013512","Census Tract 135.12; Albany County; New York","118125","18329",
"1400000US36001013602","Census Tract 136.02; Albany County; New York","79750","11409",
"1400000US36001013603","Census Tract 136.03; Albany County; New York","86940","14042",
"1400000US36001013604","Census Tract 136.04; Albany County; New York","113611","24514",
"1400000US36001013703","Census Tract 137.03; Albany County; New York","110833","24414",
"1400000US36001013706","Census Tract 137.06; Albany County; New York","171971","24798",
"1400000US36001013707","Census Tract 137.07; Albany County; New York","131016","25476",
"1400000US36001013708","Census Tract 137.08; Albany County; New York","91175","18140",
"1400000US36001013709","Census Tract 137.09; Albany County; New York","118854","25687",
"1400000US36001013802","Census Tract 138.02; Albany County; New York","128929","22490",
"1400000US36001013803","Census Tract 138.03; Albany County; New York","75035","32911",
"1400000US36001013804","Census Tract 138.04; Albany County; New York","86500","21870",
"1400000US36001013901","Census Tract 139.01; Albany County; New York","95083","13160",
"1400000US36001013902","Census Tract 139.02; Albany County; New York","102090","7900",
"1400000US36001014001","Census Tract 140.01; Albany County; New York","83951","7971",
"1400000US36001014002","Census Tract 140.02; Albany County; New York","85276","17368",
"1400000US36001014100","Census Tract 141; Albany County; New York","117931","24966",
"1400000US36001014201","Census Tract 142.01; Albany County; New York","127486","15751",
"1400000US36001014202","Census Tract 142.02; Albany County; New York","118472","13523",
"1400000US36001014203","Census Tract 142.03; Albany County; New York","147373","10985",
"1400000US36001014301","Census Tract 143.01; Albany County; New York","83235","16962",
"1400000US36001014303","Census Tract 143.03; Albany County; New York","140750","24655",
"1400000US36001014304","Census Tract 143.04; Albany County; New York","90604","24260",
"1400000US36001014401","Census Tract 144.01; Albany County; New York","100192","21041",
"1400000US36001014402","Census Tract 144.02; Albany County; New York","77163","10253",
"1400000US36001014501","Census Tract 145.01; Albany County; New York","119893","14042",
"1400000US36001014502","Census Tract 145.02; Albany County; New York","118210","26798",
"1400000US36001014503","Census Tract 145.03; Albany County; New York","106250","13924",
"1400000US36001014606","Census Tract 146.06; Albany County; New York","131471","18962",
"1400000US36001014608","Census Tract 146.08; Albany County; New York","85647","16386",
"1400000US36001014609","Census Tract 146.09; Albany County; New York","89192","12548",
"1400000US36001014611","Census Tract 146.11; Albany County; New York","122096","14077",
"1400000US36001014612","Census Tract 146.12; Albany County; New York","105455","15540",
"1400000US36001014613","Census Tract 146.13; Albany County; New York","101607","26232",
"1400000US36001014614","Census Tract 146.14; Albany County; New York","102713","21792",
"1400000US36001014615","Census Tract 146.15; Albany County; New York","84191","18108",
"1400000US36001014616","Census Tract 146.16; Albany County; New York","136705","20687",
"1400000US36001014617","Census Tract 146.17; Albany County; New York","123309","23986",
"1400000US36001014700","Census Tract 147; Albany County; New York","121042","13828",
"1400000US36001014801","Census Tract 148.01; Albany County; New York","99375","22219",
"1400000US36001014802","Census Tract 148.02; Albany County; New York","106750","29194",
"1400000US36001014803","Census Tract 148.03; Albany County; New York","81184","18643",
"1400000US36003940200","Census Tract 9402; Allegany County; New York","-","**",
"1400000US36003950100","Census Tract 9501; Allegany County; New York","63830","4153",
"1400000US36003950300","Census Tract 9503; Allegany County; New York","74410","6684",
"1400000US36003950401","Census Tract 9504.01; Allegany County; New York","63333","15541",
"1400000US36003950402","Census Tract 9504.02; Allegany County; New York","61458","21861",
"1400000US36003950500","Census Tract 9505; Allegany County; New York","66007","5583",
"1400000US36003950600","Census Tract 9506; Allegany County; New York","56656","8182",
"1400000US36003950700","Census Tract 9507; Allegany County; New York","55886","14596",
"1400000US36003950800","Census Tract 9508; Allegany County; New York","65000","10615",
"1400000US36003950900","Census Tract 9509; Allegany County; New York","61089","10243",
"1400000US36003951000","Census Tract 9510; Allegany County; New York","66901","6699",
"1400000US36003951100","Census Tract 9511; Allegany County; New York","58578","6303",
"1400000US36003951201","Census Tract 9512.01; Allegany County; New York","52939","6085",
"1400000US36003951202","Census Tract 9512.02; Allegany County; New York","54222","3556",
"1400000US36003951301","Census Tract 9513.01; Allegany County; New York","58384","3680",
"1400000US36003951302","Census Tract 9513.02; Allegany County; New York","65227","10935",
"1400000US36005000100","Census Tract 1; Bronx County; New York","-","**",
"1400000US36005000200","Census Tract 2; Bronx County; New York","121171","11360",
"1400000US36005000400","Census Tract 4; Bronx County; New York","98242","40861",
"1400000US36005001600","Census Tract 16; Bronx County; New York","42957","14062",
"1400000US36005001901","Census Tract 19.01; Bronx County; New York","67361","25254",
"1400000US36005001902","Census Tract 19.02; Bronx County; New York","76429","49265",
"1400000US36005001903","Census Tract 19.03; Bronx County; New York","-","**",
"1400000US36005001904","Census Tract 19.04; Bronx County; New York","-","**",
"1400000US36005002001","Census Tract 20.01; Bronx County; New York","23208","9804",
"1400000US36005002002","Census Tract 20.02; Bronx County; New York","18029","9047",
"1400000US36005002300","Census Tract 23; Bronx County; New York","18750","9076",
"1400000US36005002400","Census Tract 24; Bronx County; New York","-","**",
"1400000US36005002500","Census Tract 25; Bronx County; New York","27207","14366",
"1400000US36005002701","Census Tract 27.01; Bronx County; New York","18788","5377",
"1400000US36005002702","Census Tract 27.02; Bronx County; New York","31379","8563",
"1400000US36005002800","Census Tract 28; Bronx County; New York","66235","13287",
"1400000US36005003100","Census Tract 31; Bronx County; New York","43480","16614",
"1400000US36005003300","Census Tract 33; Bronx County; New York","37957","27159",
"1400000US36005003500","Census Tract 35; Bronx County; New York","34508","7635",
"1400000US36005003700","Census Tract 37; Bronx County; New York","-","**",
"1400000US36005003800","Census Tract 38; Bronx County; New York","42614","33932",
"1400000US36005003900","Census Tract 39; Bronx County; New York","28508","16320",
"1400000US36005004001","Census Tract 40.01; Bronx County; New York","76050","13566",
"1400000US36005004100","Census Tract 41; Bronx County; New York","21819","9083",
"1400000US36005004200","Census Tract 42; Bronx County; New York","52974","16599",
"1400000US36005004300","Census Tract 43; Bronx County; New York","29704","19689",
"1400000US36005004400","Census Tract 44; Bronx County; New York","21016","5569",
"1400000US36005004600","Census Tract 46; Bronx County; New York","21346","10794",
"1400000US36005004800","Census Tract 48; Bronx County; New York","45118","20947",
"1400000US36005005001","Census Tract 50.01; Bronx County; New York","35164","8940",
"1400000US36005005002","Census Tract 50.02; Bronx County; New York","36066","14115",
"1400000US36005005100","Census Tract 51; Bronx County; New York","25468","4767",
"1400000US36005005200","Census Tract 52; Bronx County; New York","35147","18232",
"1400000US36005005300","Census Tract 53; Bronx County; New York","22352","6391",
"1400000US36005005400","Census Tract 54; Bronx County; New York","58452","19753",
"1400000US36005005600","Census Tract 56; Bronx County; New York","47628","14886",
"1400000US36005005902","Census Tract 59.02; Bronx County; New York","46902","25721",
"1400000US36005006000","Census Tract 60; Bronx County; New York","53371","19655",
"1400000US36005006100","Census Tract 61; Bronx County; New York","75608","18518",
"1400000US36005006200","Census Tract 62; Bronx County; New York","27243","12280",
"1400000US36005006301","Census Tract 63.01; Bronx County; New York","58118","17002",
"1400000US36005006302","Census Tract 63.02; Bronx County; New York","-","**",
"1400000US36005006400","Census Tract 64; Bronx County; New York","40778","11825",
"1400000US36005006500","Census Tract 65; Bronx County; New York","24184","10172",
"1400000US36005006700","Census Tract 67; Bronx County; New York","-","**",
"1400000US36005006800","Census Tract 68; Bronx County; New York","33996","5615",
"1400000US36005006900","Census Tract 69; Bronx County; New York","32199","20165",
"1400000US36005007000","Census Tract 70; Bronx County; New York","43672","26409",
"1400000US36005007100","Census Tract 71; Bronx County; New York","34853","11047",
"1400000US36005007200","Census Tract 72; Bronx County; New York","64464","11133",
"1400000US36005007300","Census Tract 73; Bronx County; New York","31442","5268",
"1400000US36005007400","Census Tract 74; Bronx County; New York","52641","21975",
"1400000US36005007500","Census Tract 75; Bronx County; New York","35892","8870",
"1400000US36005007600","Census Tract 76; Bronx County; New York","53650","10144",
"1400000US36005007700","Census Tract 77; Bronx County; New York","44447","6530",
"1400000US36005007800","Census Tract 78; Bronx County; New York","58513","21218",
"1400000US36005007900","Census Tract 79; Bronx County; New York","36514","14495",
"1400000US36005008300","Census Tract 83; Bronx County; New York","53560","12906",
"1400000US36005008400","Census Tract 84; Bronx County; New York","57083","23939",
"1400000US36005008500","Census Tract 85; Bronx County; New York","43531","19042",
"1400000US36005008600","Census Tract 86; Bronx County; New York","24023","9431",
"1400000US36005008700","Census Tract 87; Bronx County; New York","40708","5161",
"1400000US36005008900","Census Tract 89; Bronx County; New York","36625","13115",
"1400000US36005009000","Census Tract 90; Bronx County; New York","33275","16425",
"1400000US36005009200","Census Tract 92; Bronx County; New York","56913","14039",
"1400000US36005009301","Census Tract 93.01; Bronx County; New York","54241","6676",
"1400000US36005009302","Census Tract 93.02; Bronx County; New York","-","**",
"1400000US36005009600","Census Tract 96; Bronx County; New York","53523","10891",
"1400000US36005009800","Census Tract 98; Bronx County; New York","67500","36499",
"1400000US36005011000","Census Tract 110; Bronx County; New York","-","**",
"1400000US36005011502","Census Tract 115.02; Bronx County; New York","30172","8274",
"1400000US36005011701","Census Tract 117.01; Bronx County; New York","35298","5712",
"1400000US36005011702","Census Tract 117.02; Bronx County; New York","-","**",
"1400000US36005011800","Census Tract 118; Bronx County; New York","100500","29867",
"1400000US36005011900","Census Tract 119; Bronx County; New York","36250","8490",
"1400000US36005012101","Census Tract 121.01; Bronx County; New York","51205","9713",
