OID,Hotspot Dataset Object ID,Public Space (Open Space) Name,Public Space (Open Space) Proximity,Borough Name,Neighborhood Tabulation Area Code (NTA CODE),Neighborhood Tabulation Area Name (NTA NAME),Number of Access Points per Public Space (Open Space),Provider,SSID,Latitude,Longitude,Published Date
1,1400,Abe Stark Skating Rink,Inside,Brooklyn,BK21,Seagate-Coney Island,6,ALTICEUSA,GuestWiFi,40.57278,-73.98563,05/30/2019
2,1401,Abe Stark Skating Rink,Inside,Brooklyn,BK21,Seagate-Coney Island,6,ALTICEUSA,GuestWiFi,40.57267,-73.98562,05/30/2019
3,1402,Abe Stark Skating Rink,Inside,Brooklyn,BK21,Seagate-Coney Island,6,ALTICEUSA,GuestWiFi,40.57267,-73.98562,05/30/2019
4,1403,Abe Stark Skating Rink,Inside,Brooklyn,BK21,Seagate-Coney Island,6,ALTICEUSA,GuestWiFi,40.57267,-73.98575,05/30/2019
5,1404,Abe Stark Skating Rink,Inside,Brooklyn,BK21,Seagate-Coney Island,6,ALTICEUSA,GuestWiFi,40.57267,-73.98575,05/30/2019
6,1405,Abe Stark Skating Rink,Inside,Brooklyn,BK21,Seagate-Coney Island,6,ALTICEUSA,GuestWiFi,40.57266,-73.98604,05/30/2019
7,1750,Alfred E. Smith Playground,Inside,Manhattan,MN27,Chinatown,8,SPECTRUM,GuestWiFi,40.71025,-73.99798,05/30/2019
8,1751,Alfred E. Smith Playground,Inside,Manhattan,MN27,Chinatown,8,SPECTRUM,GuestWiFi,40.71025,-73.99798,05/30/2019
9,1752,Alfred E. Smith Playground,Inside,Manhattan,MN27,Chinatown,8,SPECTRUM,GuestWiFi,40.71025,-73.99798,05/30/2019
10,1753,Alfred E. Smith Playground,Inside,Manhattan,MN27,Chinatown,8,SPECTRUM,GuestWiFi,40.71025,-73.99798,05/30/2019
11,2103,Alfred E. Smith Playground,Inside,Manhattan,MN27,Chinatown,8,SPECTRUM,GuestWiFi,40.71025,-73.99798,05/30/2019
12,1345,Alfred E. Smith Playground,Inside,Manhattan,MN27,Chinatown,8,SPECTRUM,GuestWiFi,40.71025,-73.99798,05/30/2019
13,1346,Alfred E. Smith Playground,Inside,Manhattan,MN27,Chinatown,8,SPECTRUM,GuestWiFi,40.71025,-73.99798,05/30/2019
