crash_date,crash_time,latitude,longitude,on_street_name,zip_code,precinct,collision_type,roadway_type,geocode_dist_feet,time_is_known,borough,location,source,injury,fatality,injured_pedestrian,injured_cyclist,injured_ebike_rider,injured_motorcyclist,injured_moped_rider,injured_car_occupant,injured_suv_occupant,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1,collision_id,cross_street_name,off_street_name,vehicle_type_code1
2026-09-13,00:00,40.6567832,-73.9137787,CHURCH AVE,11212,73,UNKNOWN,Street,2.7778665747596127,False,BROOKLYN,"(40.6567832, -73.9137787)",trafficstat,True,False,False,False,False,False,False,False,True,,,,,,,
2026-09-13,00:00,40.657921,-73.901887,SACKMAN ST,11212,73,UNKNOWN,Street,0.08926781254482187,False,BROOKLYN,"(40.657921, -73.901887)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
2026-09-13,00:00,40.6584538,-73.9110026,THOMAS S BOYLAND ST,11212,73,UNKNOWN,Street,58.93441223778695,False,BROOKLYN,"(40.6584538, -73.9110026)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-09-13,00:00,40.6687473,-73.9178848,PITKIN AVE,11212,73,UNKNOWN,Street,40.945112429264945,False,BROOKLYN,"(40.6687473, -73.9178848)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-09-12,00:00,40.6689877,-73.9154283,HERZL ST,11212,73,OTHER,Street,0.16013959512858786,False,BROOKLYN,"(40.6689877, -73.9154283)",trafficstat,True,False,False,False,False,False,False,False,False,,,,,,,
2026-09-12,00:00,40.6668794,-73.9012647,VAN SINDEREN AVE,11207,73,OTHER,Street,0.07936337472562183,False,BROOKLYN,"(40.6668794, -73.9012647)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-09-11,00:00,40.6646543,-73.9162665,SARATOGA AVE,11212,73,UNKNOWN,Street,0.019791380245711757,False,BROOKLYN,"(40.6646543, -73.9162665)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
2026-09-10,00:00,40.6646543,-73.9162665,SARATOGA AVE,11212,73,UNKNOWN,Street,0.019791380245711757,False,BROOKLYN,"(40.6646543, -73.9162665)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-09-11,00:00,40.6795164,-73.9045701,BROADWAY,11207,73,UNKNOWN,Street,2.144814842683908,False,BROOKLYN,"(40.6795164, -73.9045701)",trafficstat,True,False,False,True,False,False,False,False,False,,,,,,,
2026-09-11,00:00,40.6865564,-73.9171669,BROADWAY,11221,73,UNKNOWN,Street,46.53270027357951,False,BROOKLYN,"(40.6865564, -73.9171669)",trafficstat,True,False,False,True,False,False,False,False,False,,,,,,,
2026-09-10,00:00,40.6809793,-73.911375,ROCKAWAY AVE,11233,73,OTHER,Street,0.21576137044521285,False,BROOKLYN,"(40.6809793, -73.911375)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-09-10,00:00,40.6709278,-73.9027319,PITKIN AVE,11212,73,UNKNOWN,Street,17.846046105450963,False,BROOKLYN,"(40.6709278, -73.9027319)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-09-10,00:00,40.6633384,-73.9092704,ROCKAWAY AVE,11212,73,UNKNOWN,Street,42.307399651495835,False,BROOKLYN,"(40.6633384, -73.9092704)",trafficstat,True,False,False,False,False,False,False,False,False,,,,,,,
2026-09-10,00:00,40.6680892,-73.9031037,SUTTER AVE,11212,73,UNKNOWN,Street,42.534885720173875,False,BROOKLYN,"(40.6680892, -73.9031037)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-09-10,00:00,40.6665928,-73.90319,POWELL ST,11212,73,UNKNOWN,Street,0.06812851236751108,False,BROOKLYN,"(40.6665928, -73.90319)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
2026-09-10,00:00,40.6547385,-73.9069229,ROCKAWAY AVE,11236,73,UNKNOWN,Street,0.15195365251845672,False,BROOKLYN,"(40.6547385, -73.9069229)",trafficstat,True,False,False,False,False,False,False,False,True,,,,,,,
2026-08-20,00:00,40.6547385,-73.9069229,ROCKAWAY AVE,11236,73,UNKNOWN,Street,0.15195365251845672,False,BROOKLYN,"(40.6547385, -73.9069229)",trafficstat,True,False,True,False,False,False,False,False,False,,,,,,,
2026-07-26,00:00,40.6547385,-73.9069229,ROCKAWAY AVE,11236,73,OTHER,Street,0.15195365251845672,False,BROOKLYN,"(40.6547385, -73.9069229)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
